TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,XCNTS_VALUE,YDNTS_VALUE,SIGNGU_CD,ADSTRD_CD,STDR_YM_CD
D,발달상권,2120224,수서역,209095,443156,11680,11680750,202112
D,발달상권,2120222,삼성역,205549,445536,11680,11680610,202112
D,발달상권,2120229,방이동먹자골목,209675,446098,11710,11710562,202112
D,발달상권,2120221,봉은사역,205487,446152,11680,11680580,202112
D,발달상권,2120228,석촌역(석촌호수),209331,445222,11710,11710580,202112
D,발달상권,2120225,잠실새내역(신천),207356,445640,11710,11710650,202112
D,발달상권,2120220,대치역,205483,443898,11680,11680600,202112
D,발달상권,2120223,휘문고교사거리,205736,444979,11680,11680610,202112
D,발달상권,2120226,석촌고분역,208550,444902,11710,11710610,202112
D,발달상권,2120227,잠실역,208903,446093,11710,11710710,202112
